id,marine_animal,scientific_name,location_name,latitude,longitude,typical_depth,best_months,probability,weather_condition,notes
1,Green sea turtle,Chelonia mydas,"Snoopy Island, Al Aqah, Fujairah, UAE",25.49256,56.36411,3–20,Oct–May,65,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Most sightings in shallows. Better on calm sea days.
2,Hawksbill sea turtle,Eretmochelys imbricata,"Snoopy Island, Al Aqah, Fujairah, UAE",25.49256,56.36411,3–20,Oct–May,50,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Often near reefs and coral bommies.
3,Blacktip reef shark,Carcharhinus melanopterus,"Shark Island, Al Aqah, Fujairah, UAE",25.35207,56.37852,5–14,Oct–May,25,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Occasional. Stay near reef edge.
4,Honeycomb moray eel,Gymnothorax favagineus,"Shark Island, Al Aqah, Fujairah, UAE",25.35207,56.37852,6–14,Year-round,55,Sunny: good. Overcast: good. Rain: fair. Windy: fair.,Crevices and boulders. Do not harass.
5,Seahorse (sp.),Hippocampus sp.,"Anenome Gardens, Al Aqah, Fujairah, UAE",25.35194,56.38008,10–19,Oct–May,20,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Needs slow searching near sea pens and sheltered spots.
6,Nudibranch (various),Nudibranchia,"Anenome Gardens, Al Aqah, Fujairah, UAE",25.35194,56.38008,10–19,Year-round,50,Sunny: good. Overcast: good. Rain: good. Windy: fair.,Macro life. Visibility less critical than patience.
7,Eagle ray (spotted),Aetobatus narinari,"Dibba Island, Fujairah, UAE",25.60326,56.35122,5–15,Oct–May,20,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,More likely on calm days with better viz.
8,Mobula ray (devil ray),Mobula sp.,"Dibba Island, Fujairah, UAE",25.60326,56.35122,8–15,Oct–May,15,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Seasonal and unpredictable.
9,Trevally (giant/various),Caranx spp.,"Martini Rock, Al Aqah, Fujairah, UAE",25.33553,56.38145,12–19,Oct–May,65,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Schools often patrol pinnacles.
10,Barracuda (great/blackfin),Sphyraena spp.,"Martini Rock, Al Aqah, Fujairah, UAE",25.33553,56.38145,12–19,Oct–May,35,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,Often mid-water. Look off the reef.
11,Frogfish (sp.),Antennariidae,"Inchcape 1 Wreck, Al Aqah, Fujairah, UAE",25.51007,56.37737,22–30,May–Sep,20,Sunny: fair. Overcast: fair. Rain: fair. Windy: poor.,More likely in warmer months on wreck structure.
12,Nudibranch (various),Nudibranchia,"Inchcape 2 Wreck, Al Aqah, Fujairah, UAE",25.33838,56.38068,18–21,Year-round,60,Sunny: good. Overcast: good. Rain: good. Windy: fair.,Wreck holds lots of macro life.
13,Clownfish (anemonefish),Amphiprion clarkii (common local),"Anenome Gardens, Al Aqah, Fujairah, UAE",25.35194,56.38008,6–16,Year-round,70,Sunny: good. Overcast: good. Rain: good. Windy: fair.,Stay near anemone patches.
14,Butterflyfish (sp.),Chaetodon spp.,"Martini Wall, Al Aqah, Fujairah, UAE",25.33716,56.38068,8–19,Oct–May,55,Sunny: good. Overcast: good. Rain: fair. Windy: poor.,More active with good visibility.
15,Lionfish (red lionfish),Pterois miles,"Snoopy Deep Reef, Al Aqah, Fujairah, UAE",25.49163,56.37437,18–26,Year-round,45,Sunny: good. Overcast: good. Rain: good. Windy: fair.,Often around structure. Night dives increase chances.
16,Octopus (common octopus),Octopus vulgaris (likely),"Artificial Reef, Al Aqah, Fujairah, UAE",25.60426,56.34982,10–22,Year-round,25,Sunny: good. Overcast: good. Rain: good. Windy: fair.,More likely at dusk or night.
17,Parrotfish (sp.),Scaridae,"Coral Gardens, Al Aqah, Fujairah, UAE",25.3538,56.38081,12–28,Year-round,60,Sunny: good. Overcast: good. Rain: good. Windy: fair.,Common on healthy reef sections.
18,Whale shark,Rhincodon typus,"Daymaniyat Islands (Three Sisters area), Oman",23.8628,58.10781,5–30,Sep–Nov,35,Sunny: good. Overcast: good. Rain: good. Windy: poor.,Seasonal. Sightings rise with plankton and migration.
19,Hawksbill sea turtle,Eretmochelys imbricata,"Daymaniyat Islands (Three Sisters area), Oman",23.8628,58.10781,5–25,Year-round (peak activity Mar–Jun),75,Sunny: good. Overcast: good. Rain: good. Windy: fair.,Often on reef slopes and around cleaning areas.
20,Green sea turtle,Chelonia mydas,"Daymaniyat Islands (Three Sisters area), Oman",23.8628,58.10781,5–25,Year-round,55,Sunny: good. Overcast: good. Rain: good. Windy: fair.,Common in seagrass and reef edges.
21,Dolphins (bottlenose/spinner),Tursiops truncatus; Stenella longirostris,"Musandam Fjords (Khasab area), Oman",26.2,56.25,0–20,Year-round,60,Sunny: good. Overcast: good. Rain: fair. Windy: fair.,Usually boat sightings. In-water rules depend on operator.
22,Nudibranch (various),Nudibranchia,"Bandar Khayran and Fahal area, Muscat, Oman",23.54565,58.64846,8–25,Year-round,55,Sunny: good. Overcast: good. Rain: good. Windy: fair.,Macro-rich reefs and sheltered bays.
23,Cuttlefish (sp.),Sepia spp.,"Bandar Khayran and Fahal area, Muscat, Oman",23.54565,58.64846,5–20,Year-round,25,Sunny: good. Overcast: good. Rain: good. Windy: fair.,More active at dusk and in low light.
24,Whale shark,Rhincodon typus,"Ningaloo Reef (Ningaloo Coast), Western Australia, Australia",-22.5625,113.81028,0–30,Mar–Jul,60,Sunny: good. Overcast: good. Rain: fair.,Often near surface. Choose calm days for better visibility.
25,Whale shark,Rhincodon typus,"Darwin Island, Galápagos, Ecuador",1.678,-92.003,10–30,Jun–Nov,45,Sunny: good. Overcast: good. Rain: good.,Strong currents. Best for experienced divers.
26,Scalloped hammerhead shark,Sphyrna lewini,"Darwin Island, Galápagos, Ecuador",1.678,-92.003,15–35,Jun–Nov,75,Sunny: good. Overcast: good. Rain: good.,Currents can be strong. Stay close to rocks.
27,Scalloped hammerhead shark,Sphyrna lewini,"Wolf Island, Galápagos, Ecuador",1.3825,-91.815,15–35,Jun–Nov,80,Sunny: good. Overcast: good. Rain: good.,Remote. Current-swept. Advanced conditions common.
28,Whale shark,Rhincodon typus,"Tofo, Inhambane Province, Mozambique",-23.8561,35.5413,0–30,Oct–Mar,35,Sunny: good. Overcast: good. Rain: fair.,Plankton can drop visibility but can raise chances of big animals.
29,Reef manta ray,Mobula alfredi,"Hanifaru Bay (Baa Atoll), Maldives",5.28333,73.25,0–22,May–Oct,70,Sunny: good. Overcast: good. Rain: fair.,Scuba restrictions can apply. Check current rules.
30,Giant oceanic manta ray,Mobula birostris,"Socorro Island (Revillagigedo), Mexico",18.78444,-110.975,10–35,Nov–May,85,Sunny: good. Overcast: good. Rain: good.,Offshore. Swell and currents can be strong.
31,Humpback whale,Megaptera novaeangliae,"Tofo, Inhambane Province, Mozambique",-23.8561,35.5413,0–30,Jun–Nov,25,Sunny: good. Overcast: good. Rain: fair.,Often seen from the boat. In-water rules vary by operator and law.
32,Tiger shark,Galeocerdo cuvier,"Tiger Beach, Grand Bahama, The Bahamas",26.6431,-78.8048,6–15,Oct–Apr,80,Sunny: good. Overcast: good. Rain: fair.,Follow operator protocols.
33,Grey nurse shark (ragged-tooth),Carcharias taurus,"Aliwal Shoal, KwaZulu-Natal, South Africa",-30.29722,30.80972,12–40,Jul–Nov,70,Sunny: good. Overcast: good. Rain: fair.,Sea conditions can be rough. Currents possible.
34,Oceanic whitetip shark,Carcharhinus longimanus,"Brothers Islands (El Ikhwa), Red Sea, Egypt",26.3217,34.8628,5–40,Jun–Oct,40,Sunny: good. Overcast: good. Rain: good.,Remote liveaboard sites. Strong currents common.
35,Grey reef shark,Carcharhinus amblyrhynchos,"Blue Corner, Koror, Palau",7.13361,134.22028,10–30,Year-round,85,Sunny: good. Overcast: good. Rain: good.,Strong currents. Reef hook often used.
36,Pelagic thresher shark,Alopias pelagicus,"Monad Shoal, Malapascua, Philippines",11.30754,124.18757,20–35,Year-round (best at dawn),60,Sunny: good. Overcast: good. Rain: fair.,Early morning. Hold position near cleaning station.
37,Green sea turtle,Chelonia mydas,"Sipadan Island, Sabah, Malaysia",4.11444,118.62833,5–30,Year-round,80,Sunny: good. Overcast: good. Rain: fair.,Respect turtle resting sites.
38,Hawksbill sea turtle,Eretmochelys imbricata,"Sipadan Island, Sabah, Malaysia",4.11444,118.62833,5–30,Year-round,70,Sunny: good. Overcast: good. Rain: fair.,Better visibility helps spotting in open water.
39,Schooling barracuda (blackfin barracuda),Sphyraena qenie,"Barracuda Point, Sipadan, Sabah, Malaysia",4.11444,118.62833,10–35,Year-round,65,Sunny: good. Overcast: good. Rain: fair.,Currents possible. Stay close to reef.
40,Sea turtles (mixed),Chelonia mydas; Eretmochelys imbricata,"Turtle City or Heaven, Gili Meno, Indonesia",-8.34975,116.06656,5–30,Year-round,75,Sunny: good. Overcast: good. Rain: fair.,Shallow reef. Maintain buoyancy to protect coral.
41,Reef manta ray,Mobula alfredi,"Manta Point, Komodo National Park, Indonesia",-8.52966,119.56611,5–30,Year-round,65,Sunny: good. Overcast: good. Rain: fair.,Currents can be strong. Do not chase mantas.
42,Reef manta ray,Mobula alfredi,"Manta Point, Nusa Penida, Bali, Indonesia",-8.79547,115.52553,8–30,Year-round,60,Sunny: good. Overcast: good. Rain: fair.,Exposed site. Swell can cancel boats.
43,Ocean sunfish (mola),Mola sp.,"Crystal Bay, Nusa Penida, Bali, Indonesia",-8.71459,115.45486,18–35,Jul–Oct,33,Sunny: good. Overcast: good. Rain: fair.,Often deeper. Water can be cold. Surge can be strong.
44,Pygmy seahorse (Bargibant’s),Hippocampus bargibanti,"Cape Kri, Raja Ampat, Indonesia",-0.55652,130.69028,10–30,Year-round,40,Sunny: good. Overcast: good. Rain: good.,Depends on guide skill and time spent scanning sea fans.
45,Napoleon wrasse (humphead wrasse),Cheilinus undulatus,"Cape Kri, Raja Ampat, Indonesia",-0.55652,130.69028,5–25,Year-round,55,Sunny: good. Overcast: good. Rain: good.,Often on current-facing slopes.
46,Flamboyant cuttlefish,Metasepia pfefferi,"Lembeh Strait, North Sulawesi, Indonesia",1.433,125.233,2–25,Year-round,35,Sunny: good. Overcast: good. Rain: good.,Muck dive. Slow pace helps.
47,Hairy frogfish,Antennarius striatus,"Lembeh Strait, North Sulawesi, Indonesia",1.433,125.233,2–25,Year-round,40,Sunny: good. Overcast: good. Rain: good.,"Look on sand slopes, rubble, and debris areas."
48,Short-tailed stingray,Bathytoshia brevicaudata,"Poor Knights Islands Marine Reserve, New Zealand",-35.5,174.75,5–30,Dec–Mar,70,Sunny: good. Overcast: good. Rain: fair.,Boat trips depend on sea state.
49,Orca (killer whale),Orcinus orca,"Poor Knights Islands area, New Zealand",-35.5,174.75,0–30,Seasonal,10,Sunny: good. Overcast: good. Rain: fair.,Unpredictable. Often seen from surface.
50,Whale shark,Rhincodon typus,"Tubbataha Reefs Natural Park, Philippines",8.90033,119.88026,10–35,Mar–Jun,35,Sunny: good. Overcast: good. Rain: good.,Liveaboard access. Park season aligns with calmer conditions.
51,Reef manta ray,Mobula alfredi,"Tubbataha Reefs Natural Park, Philippines",8.90033,119.88026,10–35,Mar–Jun,25,Sunny: good. Overcast: good. Rain: good.,Best at current-facing points.
52,California sea lion,Zalophus californianus,"San Carlos Beach (Breakwater Cove), Monterey, USA",36.61126,-121.89417,1–18,Year-round (often more in summer),35,Sunny: good. Overcast: good. Rain: fair.,Surge and swell matter more than rain.
53,Harbor seal,Phoca vitulina,"San Carlos Beach (Breakwater Cove), Monterey, USA",36.61126,-121.89417,1–18,Year-round,25,Sunny: good. Overcast: good. Rain: fair.,Keep distance. Avoid crowding haul-outs.
54,Sea otter (southern sea otter),Enhydra lutris nereis,"Monterey Bay, USA",36.61126,-121.89417,0–20,Year-round,10,Sunny: good. Overcast: good. Rain: fair.,Often at surface in kelp. Do not approach.
55,Giant Pacific octopus,Enteroctopus dofleini,"Madrona Point (Nanoose Bay), British Columbia, Canada",49.31333,-124.24111,8–32,Oct–Mar,35,Sunny: good. Overcast: good. Rain: fair.,Cold water. Avoid disturbing dens.
56,Wolf eel,Anarrhichthys ocellatus,"Madrona Point (Nanoose Bay), British Columbia, Canada",49.31333,-124.24111,8–32,Oct–Mar,40,Sunny: good. Overcast: good. Rain: fair.,Do not touch. Avoid shining lights into dens.
57,Reef manta ray,Mobula alfredi,"Hanifaru Bay (Baa Atoll Biosphere Reserve), Maldives",5.28333,73.25,0–22,May–Oct,70,Sunny: good. Overcast: good. Rain: fair.,Scuba restrictions can apply. Check current rules.
58,Giant oceanic manta ray,Mobula birostris,"Socorro Island (Revillagigedo Islands), Colima, Mexico",18.78444,-110.975,10–35,Nov–May,85,Sunny: good. Overcast: good. Rain: good.,Offshore. Swell and currents can be strong.
59,Short-tailed stingray,Bathytoshia brevicaudata,"Poor Knights Islands Marine Reserve, Northland, New Zealand",-35.5,174.75,5–30,Dec–Mar,70,Sunny: good. Overcast: good. Rain: fair.,Boat trips depend on sea state.
60,Orca (killer whale),Orcinus orca,"Poor Knights Islands area, Northland, New Zealand",-35.5,174.75,0–30,Seasonal,10,Sunny: good. Overcast: good. Rain: fair.,Unpredictable. Often seen from surface.
61,Whale shark,Rhincodon typus,"Tubbataha Reefs Natural Park, Sulu Sea, Philippines",8.90033,119.88026,10–35,Mar–Jun,35,Sunny: good. Overcast: good. Rain: good.,Liveaboard access. Park season aligns with calmer conditions.
62,Reef manta ray,Mobula alfredi,"Tubbataha Reefs Natural Park, Sulu Sea, Philippines",8.90033,119.88026,10–35,Mar–Jun,25,Sunny: good. Overcast: good. Rain: good.,Best at current-facing points.
63,California sea lion,Zalophus californianus,"San Carlos Beach (Breakwater Cove), Monterey, California, USA",36.61126,-121.89417,1–18,"Year-round, often more in summer",35,Sunny: good. Overcast: good. Rain: fair.,Surge and swell matter more than rain.
64,Harbor seal,Phoca vitulina,"San Carlos Beach (Breakwater Cove), Monterey, California, USA",36.61126,-121.89417,1–18,Year-round,25,Sunny: good. Overcast: good. Rain: fair.,Keep distance. Avoid crowding haul-outs.
65,Sea otter (southern sea otter),Enhydra lutris nereis,"Monterey Bay, California, USA",36.61126,-121.89417,0–20,Year-round,10,Sunny: good. Overcast: good. Rain: fair.,Often at surface in kelp. Do not approach.