name,latitude,longitude,country,region
Snoopy Island,25.49256,56.36411,UAE,"Fujairah, Al Aqah"
Shark Island,25.35207,56.37852,UAE,"Fujairah, Al Aqah"
Anemone Gardens,25.35194,56.38008,UAE,"Fujairah, Al Aqah"
Dibba Island,25.60326,56.35122,UAE,Fujairah
Martini Rock,25.33553,56.38145,UAE,"Fujairah, Al Aqah"
Inchcape 1 Wreck,25.51007,56.37737,UAE,"Fujairah, Al Aqah"
Inchcape 2 Wreck,25.33838,56.38068,UAE,"Fujairah, Al Aqah"
Martini Wall,25.33716,56.38068,UAE,"Fujairah, Al Aqah"
Snoopy Deep Reef,25.49163,56.37437,UAE,"Fujairah, Al Aqah"
Artificial Reef,25.60426,56.34982,UAE,"Fujairah, Al Aqah"
Coral Gardens,25.3538,56.38081,UAE,"Fujairah, Al Aqah"
Daymaniyat Islands (Three Sisters),23.8628,58.10781,Oman,Daymaniyat Islands
Musandam Fjords,26.2,56.25,Oman,"Musandam, Khasab"
Bandar Khayran,23.54565,58.64846,Oman,Muscat
Ningaloo Reef,-22.5625,113.81028,Australia,Western Australia
Darwin Island,1.678,-92.003,Ecuador,Gal‡pagos
Tofo,-23.8561,35.5413,Mozambique,Inhambane Province
Hanifaru Bay,5.28333,73.25,Maldives,Baa Atoll
Socorro Island,18.78444,-110.975,Mexico,Revillagigedo Islands
Tiger Beach,26.6431,-78.8048,Bahamas,Grand Bahama
Aliwal Shoal,-30.29722,30.80972,South Africa,KwaZulu-Natal
Brothers Islands,26.3217,34.8628,Egypt,Red Sea
Blue Corner,7.13361,134.22028,Palau,Koror
Monad Shoal,11.30754,124.18757,Philippines,Malapascua
Sipadan Island,4.11444,118.62833,Malaysia,Sabah
Barracuda Point,4.11444,118.62833,Malaysia,Sabah
Turtle City,-8.34975,116.06656,Indonesia,Gili Islands
Manta Point,-8.52966,119.56611,Indonesia,Komodo National Park
Crystal Bay,-8.71459,115.45486,Indonesia,Nusa Penida
Cape Kri,-0.55652,130.69028,Indonesia,Raja Ampat
Lembeh Strait,1.433,125.233,Indonesia,North Sulawesi
Poor Knights Islands,-35.5,174.75,New Zealand,Northland
Tubbataha Reefs,8.90033,119.88026,Philippines,Sulu Sea
San Carlos Beach,36.61126,-121.89417,USA,"Monterey, California"
Monterey Bay,36.61126,-121.89417,USA,California
Madrona Point,49.31333,-124.24111,Canada,British Columbia