id,name,latitude,longitude
1,"Snoopy Island, Fujairah, Al Aqah, UAE",25.49256,56.36411
2,"Shark Island, Fujairah, Al Aqah, UAE",25.35207,56.37852
3,"Anemone Gardens, Fujairah, Al Aqah, UAE",25.35194,56.38008
4,"Dibba Island, Fujairah, UAE",25.60326,56.35122
5,"Martini Rock, Fujairah, Al Aqah, UAE",25.33553,56.38145
6,"Inchcape 1 Wreck, Fujairah, Al Aqah, UAE",25.51007,56.37737
7,"Inchcape 2 Wreck, Fujairah, Al Aqah, UAE",25.33838,56.38068
8,"Martini Wall, Fujairah, Al Aqah, UAE",25.33716,56.38068
9,"Snoopy Deep Reef, Fujairah, Al Aqah, UAE",25.49163,56.37437
10,"Artificial Reef, Fujairah, Al Aqah, UAE",25.60426,56.34982
11,"Coral Gardens, Fujairah, Al Aqah, UAE",25.3538,56.38081
12,"Daymaniyat Islands (Three Sisters), Daymaniyat Islands, Oman",23.8628,58.10781
13,"Musandam Fjords, Musandam, Khasab, Oman",26.2,56.25
14,"Bandar Khayran, Muscat, Oman",23.54565,58.64846
15,"Ningaloo Reef, Western Australia, Australia",-22.5625,113.81028
16,"Darwin Island, GalÂ‡pagos, Ecuador",1.678,-92.003
17,"Tofo, Inhambane Province, Mozambique",-23.8561,35.5413
18,"Hanifaru Bay, Baa Atoll, Maldives",5.28333,73.25
19,"Socorro Island, Revillagigedo Islands, Mexico",18.78444,-110.975
20,"Tiger Beach, Grand Bahama, Bahamas",26.6431,-78.8048
21,"Aliwal Shoal, KwaZulu-Natal, South Africa",-30.29722,30.80972
22,"Brothers Islands, Red Sea, Egypt",26.3217,34.8628
23,"Blue Corner, Koror, Palau",7.13361,134.22028
24,"Monad Shoal, Malapascua, Philippines",11.30754,124.18757
25,"Sipadan Island, Sabah, Malaysia",4.11444,118.62833
26,"Barracuda Point, Sabah, Malaysia",4.11444,118.62833
27,"Turtle City, Gili Islands, Indonesia",-8.34975,116.06656
28,"Manta Point, Komodo National Park, Indonesia",-8.52966,119.56611
29,"Crystal Bay, Nusa Penida, Indonesia",-8.71459,115.45486
30,"Cape Kri, Raja Ampat, Indonesia",-0.55652,130.69028
31,"Lembeh Strait, North Sulawesi, Indonesia",1.433,125.233
32,"Poor Knights Islands, Northland, New Zealand",-35.5,174.75
33,"Tubbataha Reefs, Sulu Sea, Philippines",8.90033,119.88026
34,"San Carlos Beach, Monterey, California, USA",36.61126,-121.89417
35,"Monterey Bay, California, USA",36.61126,-121.89417
36,"Madrona Point, British Columbia, Canada",49.31333,-124.24111